timestamp,actual_rate,current_sample_rate,delta
1761572429,0.098613,0.295167,0.000694
1761572432,0.098613,0.295860,0.000694
1761572435,0.098613,0.296554,0.000694
1761572438,0.098613,0.297248,0.000694
1761572441,0.098613,0.297941,0.000694
1761572444,0.098613,0.298635,0.000694
1761572447,0.098613,0.299328,0.000694
1761572450,0.098613,0.300022,0.000694
1761572453,0.098613,0.300715,0.000694
1761572456,0.098613,0.301409,0.000694
1761572459,0.098613,0.302102,0.000694
1761572462,0.098613,0.302796,0.000694
1761572465,0.098613,0.303489,0.000694
1761572468,0.098613,0.304183,0.000694
1761572471,0.098613,0.304877,0.000694
1761572474,0.098613,0.305570,0.000694
1761572477,0.098613,0.306264,0.000694
1761572480,0.098613,0.306957,0.000694
1761572483,0.098613,0.307651,0.000694
1761572486,0.098613,0.308344,0.000694
1761572489,0.098613,0.309038,0.000694
1761572492,0.098613,0.309731,0.000694
1761572495,0.098613,0.310425,0.000694
1761572498,0.098613,0.311118,0.000694
1761572501,0.098613,0.311812,0.000694
1761572504,0.098613,0.312506,0.000694
1761572507,0.098613,0.313199,0.000694
1761572510,0.098613,0.313893,0.000694
1761572513,0.098613,0.314586,0.000694
1761572516,0.098613,0.315280,0.000694
1761572519,0.098613,0.315973,0.000694
1761572522,0.098613,0.316667,0.000694
1761572525,0.098613,0.317360,0.000694
1761572528,0.098613,0.318054,0.000694
1761572531,0.098613,0.318748,0.000694
1761572534,0.098613,0.319441,0.000694
1761572537,0.098613,0.320135,0.000694
1761572540,0.098613,0.320828,0.000694
1761572543,0.098613,0.321522,0.000694
1761572546,0.098613,0.322215,0.000694
1761572549,0.098613,0.322909,0.000694
1761572552,0.098613,0.323602,0.000694
1761572555,0.098613,0.324296,0.000694
1761572558,0.098613,0.324989,0.000694
1761572561,0.098613,0.325683,0.000694
1761572564,0.098613,0.326377,0.000694
1761572567,0.098613,0.327070,0.000694
1761572570,0.098613,0.327764,0.000694
1761572573,0.098613,0.328457,0.000694
1761572576,0.098613,0.329151,0.000694
1761572579,0.098613,0.329844,0.000694
1761572582,0.098613,0.330538,0.000694
1761572585,0.098613,0.331231,0.000694
1761572588,0.098613,0.331925,0.000694
1761572591,0.098613,0.332618,0.000694
1761572594,0.098613,0.333312,0.000694
1761572597,0.098613,0.334006,0.000694
1761572600,0.098613,0.334699,0.000694
1761572603,0.098613,0.335393,0.000694
1761572606,0.098613,0.336086,0.000694
1761572609,0.098613,0.336780,0.000694
1761572612,0.098613,0.337473,0.000694
1761572615,0.098613,0.338167,0.000694
1761572618,0.098613,0.338860,0.000694
1761572621,0.098613,0.339554,0.000694
1761572624,0.098613,0.340248,0.000694
1761572627,0.098613,0.340941,0.000694
1761572630,0.098613,0.341635,0.000694
1761572633,0.098613,0.342328,0.000694
1761572636,0.098613,0.343022,0.000694
1761572639,0.098613,0.343715,0.000694
1761572642,0.098613,0.344409,0.000694
1761572645,0.098613,0.345102,0.000694
1761572648,0.098613,0.345796,0.000694
1761572651,0.098613,0.346489,0.000694
1761572654,0.098613,0.347183,0.000694
1761572657,0.098613,0.347877,0.000694
1761572660,0.098613,0.348570,0.000694
1761572663,0.098613,0.349264,0.000694
1761572666,0.098613,0.349957,0.000694
1761572669,0.098613,0.350651,0.000694
1761572672,0.098613,0.351344,0.000694
1761572675,0.098613,0.352038,0.000694
1761572678,0.098613,0.352731,0.000694
1761572681,0.098613,0.353425,0.000694
1761572684,0.098613,0.354118,0.000694
1761572687,0.098613,0.354812,0.000694
1761572690,0.098613,0.355506,0.000694
1761572693,0.098613,0.356199,0.000694
1761572696,0.098613,0.356893,0.000694
1761572699,0.098613,0.357586,0.000694
1761572702,0.098613,0.358280,0.000694
1761572705,0.098613,0.358973,0.000694
1761572708,0.098613,0.359667,0.000694
1761572711,0.098613,0.360360,0.000694
1761572714,0.098613,0.361054,0.000694
1761572717,0.098613,0.361748,0.000694
1761572720,0.098613,0.362441,0.000694
1761572723,0.098613,0.363135,0.000694
1761572726,0.098613,0.363828,0.000694
1761572729,0.098613,0.364522,0.000694
1761572732,0.098613,0.365215,0.000694
1761572735,0.098613,0.365909,0.000694
1761572738,0.098613,0.366602,0.000694
1761572741,0.098613,0.367296,0.000694
1761572744,0.098613,0.367989,0.000694
1761572747,0.098613,0.368683,0.000694
1761572750,0.098613,0.369377,0.000694
1761572753,0.098613,0.370070,0.000694
1761572756,0.098613,0.370764,0.000694
1761572759,0.098613,0.371457,0.000694
1761572762,0.098613,0.372151,0.000694
1761572765,0.098613,0.372844,0.000694
1761572768,0.098613,0.373538,0.000694
1761572771,0.098613,0.374231,0.000694
1761572774,0.098613,0.374925,0.000694
1761572777,0.098613,0.375618,0.000694
1761572780,0.098613,0.376312,0.000694
1761572783,0.098613,0.377006,0.000694
1761572786,0.098613,0.377699,0.000694
1761572789,0.098613,0.378393,0.000694
1761572792,0.098613,0.379086,0.000694
1761572795,0.098613,0.379780,0.000694
1761572798,0.098613,0.380473,0.000694
1761572801,0.098613,0.381167,0.000694
1761572804,0.098613,0.381860,0.000694
1761572807,0.098613,0.382554,0.000694
1761572810,0.098613,0.383248,0.000694
1761572813,0.098613,0.383941,0.000694
1761572816,0.098613,0.384635,0.000694
1761572819,0.098613,0.385328,0.000694
1761572822,0.098613,0.386022,0.000694
1761572825,0.098613,0.386715,0.000694
1761572828,0.098613,0.387409,0.000694
1761572831,0.098613,0.388102,0.000694
1761572834,0.098613,0.388796,0.000694
1761572837,0.098613,0.389489,0.000694
1761572840,0.098613,0.390183,0.000694
1761572843,0.098613,0.390877,0.000694
1761572846,0.098613,0.391570,0.000694
1761572849,0.098613,0.392264,0.000694
1761572852,0.098613,0.392957,0.000694
1761572855,0.098613,0.393651,0.000694
1761572858,0.098613,0.394344,0.000694
1761572861,0.098613,0.395038,0.000694
1761572864,0.098613,0.395731,0.000694
1761572867,0.098613,0.396425,0.000694
1761572870,0.098613,0.397118,0.000694
1761572873,0.098613,0.397812,0.000694
1761572876,0.098613,0.398506,0.000694
1761572879,0.098613,0.399199,0.000694
1761572882,0.098613,0.399893,0.000694
1761572885,0.098613,0.400586,0.000694
1761572888,0.098613,0.401280,0.000694
1761572891,0.098613,0.401973,0.000694
1761572894,0.098613,0.402667,0.000694
1761572897,0.098613,0.403360,0.000694
1761572900,0.098613,0.404054,0.000694
1761572903,0.098613,0.404748,0.000694
1761572906,0.098613,0.405441,0.000694
1761572909,0.098613,0.406135,0.000694
1761572912,0.098613,0.406828,0.000694
1761572915,0.098613,0.407522,0.000694
1761572918,0.098613,0.408215,0.000694
1761572921,0.098613,0.408909,0.000694
1761572924,0.098613,0.409602,0.000694
1761572927,0.098613,0.410296,0.000694
1761572930,0.098613,0.410989,0.000694
1761572933,0.098613,0.411683,0.000694
1761572936,0.098613,0.412377,0.000694
1761572939,0.098613,0.413070,0.000694
1761572942,0.098613,0.413764,0.000694
1761572945,0.098613,0.414457,0.000694
1761572948,0.098613,0.415151,0.000694
1761572951,0.098613,0.415844,0.000694
1761572954,0.098613,0.416538,0.000694
1761572957,0.098613,0.417231,0.000694
1761572960,0.098613,0.417925,0.000694
1761572963,0.098613,0.418618,0.000694
1761572966,0.098613,0.419312,0.000694
1761572969,0.098613,0.420006,0.000694
1761572972,0.098613,0.420699,0.000694
1761572975,0.098613,0.421393,0.000694
1761572978,0.098613,0.422086,0.000694
1761572981,0.098613,0.422780,0.000694
1761572984,0.098613,0.423473,0.000694
1761572987,0.098613,0.424167,0.000694
1761572990,0.098613,0.424860,0.000694
1761572993,0.098613,0.425554,0.000694
1761572996,0.098613,0.426248,0.000694
1761572999,0.098613,0.426941,0.000694
1761573002,0.098613,0.427635,0.000694
1761573005,0.098613,0.428328,0.000694
1761573008,0.098613,0.429022,0.000694
1761573011,0.098613,0.429715,0.000694
1761573014,0.098613,0.430409,0.000694
1761573017,0.098613,0.431102,0.000694
1761573020,0.098613,0.431796,0.000694
1761573023,0.098613,0.432489,0.000694
1761573026,0.098613,0.433183,0.000694
1761573029,0.098613,0.433877,0.000694
1761573032,0.098613,0.434570,0.000694
1761573035,0.098613,0.435264,0.000694
1761573038,0.098613,0.435957,0.000694
1761573041,0.098613,0.436651,0.000694
1761573044,0.098613,0.437344,0.000694
1761573047,0.098613,0.438038,0.000694
1761573050,0.098613,0.438731,0.000694
1761573053,0.098613,0.439425,0.000694
1761573056,0.098613,0.440118,0.000694
1761573059,0.098613,0.440812,0.000694
1761573062,0.098613,0.441506,0.000694
1761573065,0.098613,0.442199,0.000694
1761573068,0.098613,0.442893,0.000694
1761573071,0.098613,0.443586,0.000694
1761573074,0.098613,0.444280,0.000694
1761573077,0.098613,0.444973,0.000694
1761573080,0.098613,0.445667,0.000694
1761573083,0.098613,0.446360,0.000694
1761573086,0.098613,0.447054,0.000694
1761573089,0.098613,0.447748,0.000694
1761573092,0.098613,0.448441,0.000694
1761573095,0.098613,0.449135,0.000694
1761573098,0.098613,0.449828,0.000694
1761573101,0.098613,0.450522,0.000694
1761573104,0.098613,0.451215,0.000694
1761573107,0.098613,0.451909,0.000694
1761573110,0.098613,0.452602,0.000694
1761573113,0.098613,0.453296,0.000694
1761573116,0.098613,0.453989,0.000694
1761573119,0.098613,0.454683,0.000694
1761573122,0.098613,0.455377,0.000694
1761573125,0.098613,0.456070,0.000694
1761573128,0.098613,0.456764,0.000694
1761573131,0.098613,0.457457,0.000694
1761573134,0.098613,0.458151,0.000694
1761573137,0.098613,0.458844,0.000694
1761573140,0.098613,0.459538,0.000694
1761573143,0.098613,0.460231,0.000694
1761573146,0.098613,0.460925,0.000694
1761573149,0.098613,0.461618,0.000694
1761573152,0.098613,0.462312,0.000694
1761573155,0.098613,0.463006,0.000694
1761573158,0.098613,0.463699,0.000694
1761573161,0.098613,0.464393,0.000694
1761573164,0.098613,0.465086,0.000694
1761573167,0.098613,0.465780,0.000694
1761573170,0.098613,0.466473,0.000694
1761573173,0.098613,0.467167,0.000694
1761573176,0.098613,0.467860,0.000694
1761573179,0.098613,0.468554,0.000694
1761573182,0.098613,0.469248,0.000694
1761573185,0.098613,0.469941,0.000694
1761573188,0.098613,0.470635,0.000694
1761573191,0.098613,0.471328,0.000694
1761573194,0.098613,0.472022,0.000694
1761573197,0.098613,0.472715,0.000694
1761573200,0.098613,0.473409,0.000694
1761573203,0.098613,0.474102,0.000694
1761573206,0.098613,0.474796,0.000694
1761573209,0.098613,0.475489,0.000694
1761573212,0.098613,0.476183,0.000694
1761573215,0.098613,0.476877,0.000694
1761573218,0.098613,0.477570,0.000694
1761573221,0.098613,0.478264,0.000694
1761573224,0.098613,0.478957,0.000694
1761573227,0.098613,0.479651,0.000694
1761573230,0.098613,0.480344,0.000694
1761573233,0.098613,0.481038,0.000694
