timestamp,actual_rate,current_sample_rate,delta
1761729639,0.061124,0.041805,0.000614
1761729642,0.060804,0.042531,0.000726
1761729645,0.060526,0.043341,0.000810
1761729648,0.060467,0.044209,0.000868
1761729651,0.060216,0.045307,0.001098
1761729654,0.060061,0.046564,0.001257
1761729657,0.059970,0.047934,0.001370
1761729660,0.059850,0.049446,0.001512
1761729663,0.059762,0.051078,0.001633
1761729666,0.059587,0.052923,0.001844
1761729669,0.059895,0.054570,0.001647
1761729672,0.059767,0.056512,0.001943
1761729675,0.059613,0.058797,0.002285
1761729678,0.059690,0.061164,0.002367
1761729681,0.059624,0.063822,0.002658
1761729684,0.059615,0.066718,0.002895
1761729687,0.059691,0.069395,0.002677
1761729690,0.059658,0.072697,0.003302
1761729693,0.059682,0.077053,0.004356
1761729696,0.059622,0.081776,0.004723
1761729699,0.059645,0.087320,0.005544
1761729702,0.059724,0.093696,0.006375
1761729705,0.059774,0.101175,0.007480
1761729708,0.059852,0.110899,0.009724
1761729711,0.060148,0.120225,0.009326
1761729714,0.060333,0.132198,0.011973
1761729717,0.060462,0.146421,0.014223
1761729720,0.060672,0.161089,0.014668
1761729723,0.060961,0.179909,0.018821
1761729726,0.061356,0.197998,0.018089
1761729729,0.061695,0.217147,0.019149
1761729732,0.062380,0.235951,0.018803
1761729735,0.062713,0.254591,0.018640
1761729738,0.063337,0.272916,0.018325
1761729741,0.064010,0.290904,0.017989
1761729744,0.064731,0.308532,0.017627
1761729747,0.065316,0.325868,0.017336
1761729750,0.066081,0.342820,0.016952
1761729753,0.066972,0.355982,0.013162
1761729756,0.067596,0.368016,0.012034
1761729759,0.068581,0.373954,0.005938
1761729762,0.069430,0.373099,-0.000855
1761729765,0.070403,0.370267,-0.002832
1761729768,0.071524,0.361827,-0.008440
1761729771,0.072331,0.351430,-0.010397
1761729774,0.073081,0.339814,-0.011616
1761729777,0.073980,0.324549,-0.015264
1761729780,0.074847,0.309625,-0.014924
